event_id,user_id,event_type,event_timestamp,feature_name
E0000001,U00001,feature_use,2024-06-21 04:59:06,collaboration
E0000002,U00001,page_view,2024-05-20 02:20:34,
E0000003,U00002,invite_sent,2023-04-27 21:58:29,
E0000004,U00002,upgrade_click,2023-04-28 07:28:53,
E0000005,U00002,settings_change,2023-07-15T04:43:57Z,
E0000006,U00002,upgrade_click,2023-05-29T20:49:52Z,
E0000007,U00002,page_view,2023-06-18T02:06:18Z,
E0000008,U00002,feature_use,2023-07-07T23:08:04Z,onboarding_wizard
E0000009,U00002,login,2023-05-21 14:17:38,
E0000010,U00002,feature_use,2023-06-25T01:08:00Z,collaboration
E0000011,U00002,settings_change,2023-05-30T06:13:40Z,
E0000012,U00002,page_view,2023-07-15T19:17:00Z,
E0000013,U00004,logout,04/11/2023 11:22,
E0000014,U00004,settings_change,2023-12-01 13:45:38,
E0000015,U00004,support_ticket,11/08/2023 14:08,
E0000016,U00004,logout,2023-11-01 06:44:29,
E0000017,U00004,support_ticket,2023-08-25 14:58:39,
E0000018,U00004,logout,07/11/2023 11:49,
E0000019,U00004,login,2023-10-09 14:55:14,
E0000020,U00004,page_view,2023-09-08 01:35:21,
E0000021,U00004,feature_use,2023-07-22T18:55:04Z,billing_portal
E0000022,U00004,login,2023-09-03 18:47:34,
E0000023,U00004,login,2023-08-31 06:36:29,
E0000024,U00004,logout,2023-12-14 19:14:18,
E0000025,U00004,support_ticket,2023-08-19T22:38:45Z,
E0000026,U00004,feature_use,14/09/2023 21:04,collaboration
E0000027,U00004,settings_change,2023-08-11T09:19:14Z,
E0000028,U00004,invite_sent,2023-10-27T15:16:00Z,
E0000029,U00004,logout,2023-11-06 12:43:47,
E0000030,U00004,feature_use,2023-08-30 23:08:22,billing_portal
E0000031,U00004,logout,2023-10-05 11:04:54,
E0000032,U00004,login,2023-11-10 02:10:01,
E0000033,U00004,support_ticket,2023-12-13T18:46:46Z,
E0000034,U00004,logout,2023-06-30 03:16:41,
E0000035,U00004,page_view,2023-10-02 05:41:47,
E0000036,U00004,logout,2023-11-04T13:04:19Z,
E0000037,U00004,page_view,2023-12-10T15:42:35Z,
E0000038,U00004,page_view,2023-08-12 23:27:02,
E0000039,U00004,support_ticket,2023-09-16 02:01:33,
E0000040,U00004,page_view,2023-06-22T03:55:26Z,
E0000041,U00004,page_view,2023-11-18 22:32:33,
E0000042,U00004,page_view,11/12/2023 12:35,
E0000043,U00004,support_ticket,2023-11-29T08:25:28Z,
E0000044,U00004,invite_sent,14/07/2023 16:58,
E0000045,U00004,invite_sent,2023-08-03 10:16:13,
E0000046,U00004,settings_change,2023-08-03 06:15:29,
E0000047,U00004,invite_sent,09/10/2023 10:33,
E0000048,U00004,logout,2023-07-22T04:52:07Z,
E0000049,U00004,support_ticket,18/09/2023 07:04,
E0000050,U00004,logout,2023-07-14T02:37:02Z,
E0000051,U00004,login,07/10/2023 07:42,
E0000052,U00004,invite_sent,2023-10-04T22:02:01Z,
E0000053,U00004,page_view,2023-12-11T15:45:10Z,
E0000054,U00004,invite_sent,2023-07-10T05:00:52Z,
E0000055,U00004,invite_sent,2023-08-30 00:28:22,
E0000056,U00004,page_view,2023-07-28T06:15:21Z,
E0000057,U00004,support_ticket,2023-08-09T18:55:19Z,
E0000058,U00004,upgrade_click,2023-10-04T06:20:21Z,
E0000059,U00004,support_ticket,2023-06-21T12:55:23Z,
E0000060,U00004,feature_use,28/08/2023 22:54,export
E0000061,U00004,invite_sent,2023-10-23T19:55:42Z,
E0000062,U00004,login,2023-11-15 20:11:39,
E0000063,U00004,upgrade_click,2023-11-09 08:21:33,
E0000064,U00004,upgrade_click,31/08/2023 22:34,
E0000065,U00004,settings_change,2023-10-27 13:48:53,
E0000066,U00004,settings_change,2023-10-18 14:02:43,
E0000067,U00004,invite_sent,2023-11-01 07:58:57,
